observation,return,volatility
1,-0.233445,0.424264
2,0.0247914,0.410426
3,0.264012,0.397061
4,0.714102,0.384121
5,0.144539,0.403791
6,-0.0888062,0.402859
7,-0.833566,0.384969
8,-0.867151,0.44261
9,-0.331865,0.425765
10,-0.495367,0.408507
11,-0.329006,0.407743
12,-0.21681,0.38913
13,-0.118739,0.372953
14,-0.210077,0.358102
15,-0.336255,0.348351
16,-0.263816,0.341435
17,-0.0705364,0.330533
18,-0.2602,0.321564
19,-0.158245,0.322477
20,-0.076221,0.314012
21,0.306083,0.306309
22,0.223855,0.319099
23,-0.0613633,0.310905
24,0.509362,0.307942
25,-0.286022,0.353976
26,0.100555,0.409843
27,0.512777,0.416923
28,-0.0978771,0.410249
29,0.286273,0.41649
30,0.442482,0.423796
31,0.111615,0.406403
32,-0.444353,0.390967
33,-0.131324,0.400564
34,-0.271851,0.389264
35,-0.745272,0.382514
36,-0.672953,0.40268
37,-0.55777,0.387105
38,-0.307485,0.374918
39,-0.209694,0.359919
40,0.293008,0.34715
41,0.523204,0.360299
42,0.276006,0.355915
43,-0.192013,0.34358
44,0.222333,0.34649
45,0.516866,0.359178
46,1.2919,0.357237
47,1.05091,0.45662
48,1.27468,0.434366
49,1.06802,0.470349
50,0.637724,0.450269
51,-0.314551,0.427177
52,-0.0227449,0.454657
53,-0.286804,0.443246
54,-0.47988,0.437004
55,-0.325573,0.42114
56,-0.278678,0.400985
57,-0.773555,0.384564
58,-0.896923,0.414533
59,-0.167185,0.408583
60,0.306913,0.407867
61,0.514929,0.398804
62,0.408919,0.391083
63,0.473043,0.374787
64,0.399762,0.36818
65,0.166805,0.35498
66,0.464694,0.342733
67,0.264952,0.354658
68,-0.157696,0.343038
69,0.256561,0.342045
70,0.691617,0.35586
71,-0.104961,0.370011
72,0.0282011,0.400372
73,-0.708371,0.390867
74,-0.111205,0.451349
75,-0.335071,0.454378
76,0.0589369,0.451101
77,-0.136262,0.442134
78,-0.00706771,0.428428
79,-0.526761,0.409942
80,-0.553925,0.429979
81,-0.337747,0.410618
82,0.200185,0.391633
83,0.91838,0.393115
84,0.924654,0.437163
85,0.664376,0.422953
86,-0.0459433,0.404526
87,-0.726404,0.407912
88,-0.454951,0.430021
89,-0.147303,0.409695
90,0.180875,0.391129
91,0.430879,0.381696
92,0.43173,0.375605
93,-0.275946,0.36298
94,0.0483942,0.387744
95,0.0872955,0.387005
96,-0.322789,0.370773
97,-0.422517,0.373361
98,-0.763756,0.361783
99,-0.665551,0.383225
100,-0.0948766,0.369555
101,-0.0840349,0.365765
102,-0.382774,0.353768
103,-0.374355,0.3545
104,-0.0565222,0.343012
105,-0.433444,0.335423
106,-0.714412,0.355132
107,-0.41993,0.360968
108,-0.630765,0.347798
109,0.260151,0.362909
110,0.278294,0.41446
111,-0.238625,0.395492
112,-0.549567,0.394739
113,-0.560461,0.390968
114,-0.552752,0.378808
115,-1.11426,0.369636
116,-0.244181,0.431172
117,0.0344915,0.444649
118,0.00362828,0.421972
119,0.32689,0.401703
120,-0.157128,0.397435
121,-0.509364,0.402279
122,-0.165038,0.396056
123,-0.0528206,0.382901
124,0.0927705,0.366991
125,0.0559206,0.35508
126,-0.063224,0.342419
127,0.419783,0.332184
128,0.731773,0.355626
129,-0.427788,0.363133
130,0.18319,0.452128
131,1.32441,0.478072
